sample_code	recipe_summary_ko
FAL0001	가로섹션을 이용하여 진행한다. 천체축 각도 0도와 스퀘어 라인으로 고정 디자인라인을 이용하여 진행한다.
FAL2001	먼저 아웃라인을 AL스퀘어로 설정한다. 후대각 섹션을 활용한다. 천체축 각도75도와 다이렉션 D0기점으로 고정 디자인 라인을 활용하여 진행합니다. 천체축 각도 135도와 다이렉션 D0 기점으로 고정디자인 라인을 활용하여 진행합니다. 파이섹션으로 진행합니다. 천체축 각도 135도와 다이렉션 D8~D6기점까지 이동 디자인 라인을 활용하여 진행합니다. 프린지 부분은 삼각 섹션과 좌/우 전대각 섹션을 활용하여 천체축각도 75도와 고정 디자인라인을 활용하여 진행합니다. 파이 섹션을 활용하여 천체축 각도135도와 고정 디자인 라인을 활용하여 진행합니다.
FAL3001	먼저 아웃라인을 AL스퀘어로 설정한다. 후대각 섹션을 활용한다. 천체축 각도 75도~135도까지 다이렉션 D0 기점으로 이동 디자인 라인을 활용하여 진행한다. 후대각 섹션을 이용하여 섹션과 비평행, 이동 디자인 라인으로 진행한다. 파이섹션을 활용하여 진행한다. 천체축 각도 135도로 진행하며, 다이렉션 D8~D4기점까지 이동 디자인 라인으로 진행하며, 나머지 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인 라인으로 진행한다.
FAL3002	먼저 아웃라인을 AL스퀘어로 설정한다. 후대각 섹션을 활용한다. 천체축 각도 75도와 다이렉션 D0기점으로 고정 디자인라인을 활용하여 진행한다. 후대각 섹션을 이용하여 섹션과 비평행, 고정 디자인 라인으로 진행한다. 파이섹션을 활용하여 진행한다. 천체축 각도 135도로 진행하며, 다이렉션 D8기점 고정 디자인라인으로 진행한다. 전대각 섹션을 이용하여 진행한다. 천체축 각도 135도로 진행하며 다이렉션 D0기점, 고정 디자인라인으로 진행한다.
FAL3003	먼저 아웃라인을 AL스퀘어로 설정한다. 후대각 섹션을 활용한다. 천체축 각도 75도와 다이렉션 D0기점으로 고정 디자인 라인을 활용하여 진행한다. 후대각 섹션을 이용하여 섹션과 비평행, 고정 디자인 라인으로 진행한다. 파이섹션을 활용하여 진행한다. 천체축 각도 135도와 다이렉션 D8~D4기점까지 이동 디자인 라인으로 진행하며 나머지 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인 라인으로 진행한다. 천체축 각도 135도로 진행하며, 다이렉션 D8~D4기점까지 이동 디자인 라인으로 진행하며, 나머지 사이드 부분은 다이렉션 D4기점을 축으로 고정 디자인 라인으로 진행한다. 전대각 세션을 이용하여 진행한다. 천체축 각도 135도로 진행하며 다이렉션 D0 기점, 고정 디자인 라인으로 진행한다.
FAL3004	먼저 AL길이의 아웃라인을 천체축 각도0도로 스퀘어 라인으로 정리한다. 이때 전체 모발을 한꺼번에 진행할 수도 있지만, A존, B존, C존 3파트로 분류하여 진행하면 효율적으로 아웃라인을 정리할 수 있다. 후대각섹션을 활용하여 진행한다. 천체축각도 75도를 활용하여 진행한다. 다이렉션 D0기점을 고정디자인라인을 활용하여 진행한다. 섹션과 비평행으로 커트한다. 다이렉션 D0기점으로 고정디자인라인을 활용하여 진행한다. 전대각 섹션과 천체축각도 135도, 다이렉션 D0기점으로 고정디자인라인을 활용하여 진행한다. 파이섹션과 다이렉션 D8~D6기점까지 천체축 각도 135도, 이동 디자인라인을 활용하여 진행한다.
FAL4001	먼저 아웃라인을 AL라운드로 설정한다. 후대각 섹션을 활용한다. 천체축 각도 75도와 다이렉션 D0 기점으로 고정 디자인라인을 활용하여 진행한다. 파이섹션을 이용하여 진행한다. 천체축 각도 135도와 다이렉션 D8기점으로 고정 디자인 라인을 활용하여 진행한다. 가로섹션을 이용하여 진행한다. 천체축 각도 180도와 리프트 L8기점으로 고정 디자인 라인을 활용하여 진행한다. 전대각 섹션을 이용하여 진행한다. 천체축 각도 135도와 다이렉션 D0기점으로 고정 디자인 라인을 활용하여 진행한다.
FBL0001	아웃라인을 가로섹션을 활용하여 BL스퀘어라인으로 설정하고 천체축 각도0도와 고정 디자인 라인을 활용하여 원랭스로 진행
FBL1001	먼저아웃라인을 BL스퀘어로 설정한다. 후대각 섹션과 천체축 각도 45도, 다이렉션 D0기점으로 고정 디자인 라인을 활용하여 진행한다. 후대각 섹션과 천체축 각도 75도~135도까지 다이렉션 D0기점으로 이동 디자인라인을 활용하여 진행한다. 파이섹션과 천체축 각도 135도 다이렉션D8기점으로 고정 디자인 라인을 활용하여 진행한다.
FBL2001	먼저 아웃라인을 BL 스퀘어로 설정한다. 후대각 섹션과 천체축각도 75도~135도까지 다이렉션 D0기점으로 이동 디자인라인을 활용하여 진행한다.
