sample_code	recipe_summary_ko
SF1001	측면과 뒷머리 짧게 페이드. 정수리 레이어로 자연스러운 볼륨. 앞머리 있는 짧은 스타일. 스포츠 컷.
SF1002	측면 둥글게 페이드. 정수리 그라데이션과 레이어. 앞머리 자연스럽게 내림. 클래식한 남성 컷.
SF1004	측면과 뒷머리 짧게. 정수리 레이어로 볼륨감. 앞머리 자연스러운 스타일. 깔끔한 남성 컷.
SF1011	측면 둥글게 페이드. 정수리 그라데이션과 레이어. 앞머리 있음. 자연스러운 볼륨 스타일.
SF1013	뒷머리와 측면 짧게 정리. 정수리 레이어. 앞머리 자연스럽게. 단정한 남성 컷.
SF1014	정수리 부분 남기고 측면 둥글게 페이드. 그라데이션과 레이어. 앞머리 있는 스타일.
SF2001	앞머리 있고 측면 짧게. 정수리 그라데이션과 레이어. 자연스러운 볼륨 스타일.
SF2004	측면과 뒷머리 그라데이션. 정수리 레이어. 앞머리 자연스러운 남성 컷.
SF2006	측면 둥글게 페이드. 뒷머리 짧게. 정수리 그라데이션. 깔끔한 스타일.
SF2008	정수리 남기고 측면 둥글게 페이드. 그라데이션과 레이어. 자연스러운 볼륨.
SF2009	측면 짧게 정리. 정수리 그라데이션과 레이어. 자연스러운 남성 스타일.
SF2012	앞머리 있고 측면 뒷머리 짧게. 정수리 그라데이션과 스퀘어 레이어. 단정한 컷.
SF2013	측면과 뒷머리 그라데이션. 정수리 레이어. 앞머리 자연스러운 스타일.
SF2014	측면과 뒷머리 짧게 정리. 정수리 레이어. 앞머리 있는 깔끔한 남성 컷.
SP0001	측면과 뒷머리 짧게. 정수리 그라데이션과 레이어. 페이드 스타일. 단정한 컷.
SP0002	측면과 뒷머리 짧게 정리. 정수리 레이어. 깔끔한 남성 페이드 스타일.
SP0005	측면 뒷머리 짧게. 정수리 레이어로 볼륨. 페이드 컷. 자연스러운 스타일.
SP0006	측면과 뒷머리 짧게. 정수리 그라데이션과 레이어. 자연스러운 볼륨 스타일.
SP0007	측면 뒷머리 짧게 페이드. 정수리 레이어. 단정한 남성 컷.
SP1002	측면 짧게 정리. 정수리 그라데이션과 레이어. 자연스러운 볼륨 스타일.
SP1003	측면과 뒷머리 짧게. 정수리 그라데이션과 레이어. 깔끔한 페이드 컷.
SP1004	측면 짧게 정리. 정수리 그라데이션과 레이어로 볼륨. 자연스러운 스타일.
SP1005	측면 뒷머리 짧게. 정수리 그라데이션과 레이어. 단정한 남성 컷.
SP1006	측면 짧게. 정수리 그라데이션과 스퀘어 레이어. 깔끔한 페이드 스타일.
SP1007	측면 짧게 그라데이션. 자연스러운 페이드 컷. 단정한 남성 스타일.
SP2002	측면 뒷머리 짧게. 정수리 그라데이션과 스퀘어 레이어. 깔끔한 페이드.
SP2003	측면과 뒷머리 짧게. 정수리 그라데이션과 스퀘어 레이어. 단정한 스타일.
SP2004	측면 둥글게 짧게. 뒷머리 짧게. 정수리 그라데이션과 스퀘어 레이어.
SP2008	측면 뒷머리 짧게. 정수리 그라데이션과 레이어. 자연스러운 볼륨 스타일.
SP2009	측면과 뒷머리 짧게. 정수리 그라데이션과 스퀘어 레이어. 측면 정돈된 스타일.
SP2010	측면 짧게. 정수리 그라데이션과 레이어로 볼륨. 자연스러운 페이드.
SP2012	측면 뒷머리 짧게. 정수리 그라데이션과 레이어. 측면 정돈된 깔끔한 컷.
SP2013	측면 뒷머리 그라데이션. 정수리 레이어. 자연스러운 볼륨 스타일.
SP3001	측면 둥글게 짧게. 뒷머리 짧게. 정수리 그라데이션과 레이어로 볼륨.
SP3002	측면과 뒷머리 짧게. 정수리 그라데이션. 측면 정돈된 단정한 스타일.
SP3003	측면 둥글게. 뒷머리 짧게. 정수리 그라데이션과 레이어. 자연스러운 볼륨.
SP3004	측면 뒷머리 둥글게 그라데이션. 자연스러운 페이드 스타일.
SP3006	측면과 뒷머리 짧게. 정수리 레이어로 볼륨. 깔끔한 컷.
SP3007	측면 둥글게 짧게. 정수리 그라데이션. 측면 정돈된 단정한 스타일.
FU0001	측면과 뒷머리 짧게 페이드. 정수리 레이어. 언더컷 스타일. 깔끔한 남성 컷.
FU0002	측면 뒷머리 짧게. 정수리 레이어. 페이드 언더컷. 단정한 스타일.
FU0006	측면과 뒷머리 짧게 페이드. 정수리 레이어. 언더컷. 깔끔한 컷.
FU0007	측면 뒷머리 짧게. 정수리 레이어. 페이드 언더컷 스타일.
FU0008	측면과 뒷머리 짧게 페이드. 정수리 레이어. 언더컷. 단정한 남성 컷.
FU0009	측면 뒷머리 짧게. 정수리 레이어. 페이드 언더컷. 깔끔한 스타일.
